iter	Passed	Remaining
0	22	17828
1	48	19161
2	72	19354
3	96	19143
4	121	19361
5	146	19427
6	171	19401
7	195	19352
8	220	19361
9	246	19461
10	271	19450
11	296	19500
12	320	19413
13	346	19473
14	371	19443
15	396	19405
16	422	19469
17	447	19455
18	473	19453
19	498	19426
20	523	19417
21	549	19427
22	573	19365
23	598	19365
24	622	19307
25	649	19326
26	674	19314
27	699	19288
28	724	19263
29	750	19256
30	773	19199
31	800	19208
32	825	19179
33	850	19150
34	874	19116
35	897	19044
36	921	19011
37	947	19000
38	970	18940
39	994	18903
40	1019	18881
41	1045	18865
42	1068	18803
43	1091	18754
44	1116	18736
45	1143	18745
46	1171	18772
47	1200	18815
48	1226	18792
49	1252	18790
50	1277	18764
51	1303	18751
52	1329	18737
53	1353	18698
54	1379	18680
55	1404	18664
56	1428	18618
57	1455	18614
58	1481	18611
59	1505	18572
60	1531	18556
61	1556	18524
62	1583	18522
63	1608	18502
64	1631	18453
65	1657	18434
66	1682	18402
67	1705	18356
68	1730	18329
69	1754	18297
70	1780	18285
71	1805	18256
72	1830	18231
73	1856	18213
74	1881	18189
75	1906	18161
76	1931	18132
77	1956	18105
78	1980	18078
79	2005	18050
80	2030	18020
81	2053	17982
82	2079	17964
83	2101	17915
84	2127	17896
85	2152	17867
86	2176	17838
87	2201	17813
88	2224	17774
89	2251	17761
90	2278	17750
91	2301	17712
92	2327	17694
93	2350	17654
94	2375	17627
95	2400	17603
96	2427	17591
97	2450	17555
98	2476	17538
99	2499	17498
100	2526	17482
101	2549	17448
102	2576	17433
103	2599	17397
104	2624	17373
105	2648	17339
106	2673	17312
107	2698	17287
108	2725	17276
109	2749	17243
110	2775	17229
111	2800	17200
112	2824	17171
113	2850	17155
114	2876	17131
115	2901	17109
116	2925	17078
117	2952	17066
118	2977	17040
119	3003	17020
120	3028	16992
121	3053	16970
122	3080	16954
123	3106	16935
124	3131	16909
125	3157	16890
126	3184	16876
127	3210	16855
128	3235	16830
129	3260	16805
130	3287	16790
131	3314	16771
132	3335	16728
133	3364	16723
134	3393	16713
135	3418	16690
136	3441	16653
137	3464	16619
138	3491	16601
139	3517	16584
140	3543	16561
141	3567	16529
142	3593	16510
143	3618	16482
144	3644	16464
145	3668	16435
146	3693	16409
147	3718	16380
148	3744	16361
149	3767	16325
150	3792	16298
151	3817	16273
152	3843	16252
153	3867	16221
154	3891	16191
155	3919	16179
156	3942	16146
157	3966	16116
158	3989	16085
159	4014	16057
160	4037	16025
161	4061	15996
162	4084	15961
163	4107	15929
164	4134	15911
165	4158	15881
166	4181	15849
167	4204	15818
168	4231	15798
169	4256	15773
170	4280	15746
171	4305	15719
172	4328	15687
173	4352	15658
174	4378	15638
175	4404	15617
176	4429	15591
177	4455	15569
178	4479	15542
179	4509	15531
180	4532	15499
181	4557	15473
182	4581	15447
183	4609	15433
184	4636	15413
185	4661	15388
186	4684	15357
187	4709	15330
188	4732	15297
